stem,selected_instances,all_instances,selected_indices,selected_mean_abs_rgb_diff,control_mean_abs_rgb_diff,background_mean_abs_rgb_diff,selected_changed_ratio_diff_gt8,control_changed_ratio_diff_gt8,background_changed_ratio_diff_gt8,label_sha256_equal,depth_sha256_equal
IMG_0076_20260519064543800,3,7,0|2|3,40.18315124511719,5.807522773742676,1.1141459941864014,0.6263039746467715,0.20836090889035958,0.023792236036600262,True,True
IMG_0077_20260602201927063,3,5,0|2|3,77.08595275878906,1.8709371089935303,1.405402660369873,0.8589483394833949,0.047402804333970684,0.03354972011371296,True,True
IMG_0079_20260519031013487,1,3,1,118.53752899169922,1.2648601531982422,0.8416467308998108,0.9846185397867104,0.005259170120782636,0.012580076959630137,True,True
IMG_0079_20260602201927347,3,6,0|1|4,66.45313262939453,3.582524061203003,1.4283905029296875,0.8093751990319088,0.05424888508766571,0.03619659548487447,True,True
IMG_0080_20260519031457666,1,3,0,15.31981372833252,1.5281593799591064,0.6627593636512756,0.5881118881118881,0.004509701101206083,0.007322887089424054,True,True
IMG_0081_20260519031719769,1,3,1,5.353012561798096,6.693974018096924,0.7047823071479797,0.11928549803209204,0.2649662415603901,0.008571591968001184,True,True
IMG_0081_20260519032735927,1,2,0,25.564559936523438,1.999028205871582,0.6890724301338196,0.945054945054945,0.01109293891772737,0.00811160137273254,True,True
IMG_0081_20260531180436939,1,3,1,95.57600402832031,5.013829708099365,1.1709529161453247,0.9829146701514931,0.13767441860465116,0.023441584538726096,True,True
IMG_0083_20260519033928418,1,3,0,12.593560218811035,0.841269850730896,0.6801938414573669,0.2907707575256368,9.018759018759019e-05,0.009471525714032257,True,True
IMG_0083_20260519062028743,3,4,0|1|2,13.579985618591309,1.849324345588684,1.4253768920898438,0.16832490621432067,0.022972972972972974,0.03740633624635003,True,True
IMG_0084_20260519034412903,1,3,2,96.66829681396484,1.767306923866272,0.823638916015625,0.9925351708297445,0.009231111440646549,0.011736520887610527,True,True
IMG_0085_20260519033047102,1,2,0,33.46227264404297,0.7404279708862305,0.722913920879364,0.8721406623420963,0.0,0.012465502909393184,True,True
IMG_0088_20260519032649389,1,3,1,44.82476043701172,1.2033276557922363,0.7674800753593445,0.42857142857142855,0.0028890137228151833,0.01068805189384479,True,True
IMG_0088_20260519033309125,1,2,1,23.08674430847168,2.2321972846984863,0.7294197082519531,0.3991811668372569,0.02770850651149903,0.011151783718128822,True,True
IMG_0088_20260602211533789,1,2,0,117.131591796875,1.054135799407959,0.8406027555465698,0.9768999768999769,0.00020610057708161583,0.01974530968027512,True,True
IMG_0089_20260519030045169,2,4,0|1,38.473995208740234,0.7606101036071777,0.796985924243927,0.7537890044576523,0.0,0.0136021031823408,True,True
IMG_0089_20260519032205125,1,2,1,20.271358489990234,1.425899863243103,1.4969817399978638,0.4138474770642202,0.0034,0.023688599151000606,True,True
IMG_0089_20260519033221869,2,3,0|1,38.03781509399414,2.1668145656585693,0.986800491809845,0.8233864844343204,0.013597398758498374,0.021378326963848778,True,True
IMG_0090_20260519052514615,3,5,2|3|4,29.166902542114258,0.9074022173881531,2.00925612449646,0.5777216932430882,0.0,0.04490435277922818,True,True
IMG_0090_20260601210918034,2,2,0|1,94.6513671875,nan,1.454390287399292,0.9998396836423876,nan,0.03318000464492334,True,True
IMG_0091_20260519032117963,1,3,1,103.37108612060547,1.3654134273529053,1.0383473634719849,0.956916810277299,0.0027328458527217667,0.015706040838490937,True,True
IMG_0095_20260519034549148,1,3,0,29.66478729248047,1.5481988191604614,0.8108698129653931,0.7498371335504886,0.012966460768798815,0.016247005363843877,True,True
IMG_0097_20260531050735179,3,5,1|2|3,105.73344421386719,6.225846767425537,1.9704259634017944,0.9461649782923299,0.14807576668671077,0.04514034206634859,True,True
IMG_0100_20260519031150577,1,3,0,24.17866325378418,6.380214691162109,0.4996180534362793,0.6921373200442967,0.17822391231405882,0.0016660272163865183,True,True
IMG_0101_20260519191654230,3,4,1|2|3,29.948200225830078,2.6121559143066406,1.5216854810714722,0.5018882175226587,0.018803418803418803,0.028379238311638553,True,True
IMG_0102_20260519033223303,1,3,1,57.14977264404297,1.613895297050476,0.7327812314033508,0.9991725279271825,0.00443309038996168,0.008264888120381234,True,True
IMG_0103_20260519034327443,2,6,1|2,81.0361099243164,2.17864727973938,1.4335591793060303,0.9898496974429045,0.03812697450988878,0.0268702727891888,True,True
IMG_0103_20260531201856096,1,3,2,90.93722534179688,5.354916095733643,1.7365100383758545,0.998905548867243,0.10770781637717122,0.03130093333283376,True,True
IMG_0104_20260519032119481,2,3,0|1,40.5777587890625,0.690193235874176,1.8387247323989868,0.8022502557108763,0.0,0.038559720999479935,True,True
IMG_0106_20260519054101158,3,3,0|1|2,11.370307922363281,nan,1.9537776708602905,0.2205059203444564,nan,0.05330191947889959,True,True
IMG_0107_20260519195625534,2,6,2|4,68.76127624511719,1.6505146026611328,1.1931354999542236,0.7613340281396561,0.020997624703087886,0.017705440848981388,True,True
IMG_0108_20260519034813114,1,3,1,28.705202102661133,1.311965823173523,0.6384482979774475,0.5058910162002945,0.002913752913752914,0.008376866565792807,True,True
IMG_0108_20260602205638376,1,3,0,31.21550178527832,3.0366716384887695,0.6811009645462036,0.9943502824858758,0.09751335799424579,0.012183668337992339,True,True
IMG_0109_20260519030754338,1,3,1,44.87343215942383,1.4965850114822388,0.9860981702804565,0.9930961232076474,0.003004632141217711,0.018471391911968553,True,True
IMG_0109_20260601222028236,2,4,0|1,25.707014083862305,2.97110652923584,0.9901056885719299,0.5836161387631976,0.09649580349945469,0.02354499755004265,True,True
IMG_0111_20260519032032682,1,2,0,34.289588928222656,1.631361961364746,0.6226302981376648,0.6571164510166358,0.010031266284523188,0.0076414718608874095,True,True
IMG_0112_20260601195157925,2,4,0|1,9.385163307189941,2.7691290378570557,0.6111370921134949,0.2272514071294559,0.0635303265940902,0.011358154024287703,True,True
IMG_0113_20260519210417404,2,2,0|1,44.13003921508789,nan,1.529050588607788,0.5570462925030725,nan,0.040754748463527904,True,True
IMG_0113_20260602211758912,1,4,2,63.281219482421875,1.0986284017562866,0.5363487601280212,0.9536270288174893,0.010833138492712962,0.0063406805280788745,True,True
IMG_0114_20260519031017453,1,3,0,72.63275146484375,1.2545092105865479,1.0524463653564453,0.8407383558703585,0.0056342742385362046,0.022721427652916886,True,True
IMG_0116_20260519034416561,3,5,1|2|4,85.0566177368164,11.987009048461914,1.450837254524231,0.9373715225435111,0.3752352572145546,0.0330462797932643,True,True
IMG_0116_20260519035258406,2,2,0|1,71.73998260498047,nan,1.1624704599380493,0.9184341450641529,nan,0.023394155466981793,True,True
IMG_0116_20260519054546173,1,1,0,34.12977600097656,nan,1.5737396478652954,0.6798759131391975,nan,0.03864490248027901,True,True
IMG_0116_20260602034041857,3,4,0|2|3,54.791343688964844,1.4523227214813232,1.9570471048355103,0.6821822578207647,0.0003761519653940192,0.04381792419166531,True,True
IMG_0118_20260519034329222,1,3,2,33.90870666503906,1.5135239362716675,0.6560871005058289,0.45284124194493264,0.00653425871234495,0.007372659000065053,True,True
IMG_0119_20260531184544062,1,3,1,94.47052764892578,2.5333831310272217,0.5627738833427429,1.0,0.060989215321680924,0.007629504407967603,True,True
IMG_0122_20260519192316413,2,2,0|1,22.458284378051758,nan,1.435857892036438,0.33627597446692925,nan,0.022945800551633054,True,True
IMG_0125_20260519044154361,3,4,1|2|3,21.567609786987305,1.9347549676895142,1.153826355934143,0.5943396226415094,0.01913613996719519,0.02771553091655952,True,True
IMG_0128_20260519051550301,3,4,0|1|2,34.66505813598633,0.37824076414108276,1.3008403778076172,0.5234195034553366,0.0,0.03462407639612069,True,True
IMG_0131_20260602051130059,1,5,2,84.97073364257812,2.4891180992126465,1.1279431581497192,0.9699060306887118,0.04793814432989691,0.024504768370578637,True,True
IMG_0135_20260519054239175,3,5,2|3|4,17.766551971435547,1.5090357065200806,1.28921639919281,0.2775688794694743,0.011673456596678157,0.02938433002512428,True,True
IMG_0140_20260601032042657,3,5,0|1|4,45.09707260131836,16.92767906188965,2.4077608585357666,0.7182907144677597,0.6150619637750239,0.06082308426849319,True,True
IMG_0143_20260601051247440,2,4,0|3,50.78641128540039,5.684615612030029,2.4459280967712402,0.8852761068660923,0.15806145074437758,0.06147602690560977,True,True
IMG_0145_20260531173841819,1,2,0,64.14733123779297,4.517000675201416,0.9593881964683533,0.9213781536096163,0.17246462264150944,0.024274137868381847,True,True
IMG_0146_20260601204542660,1,4,0,63.16490173339844,1.7380450963974,0.5458406805992126,0.8295511850731215,0.007950920245398773,0.006319292800921213,True,True
IMG_0146_20260601222032360,2,3,0|1,72.41873931884766,3.4873781204223633,0.7524598836898804,0.9102222222222223,0.12100235359269002,0.01508382913341591,True,True
IMG_0150_20260531201727002,2,3,0|1,102.94366455078125,0.5114312767982483,1.117455244064331,0.885544161429044,0.0,0.024525682554372975,True,True
