stem,module,selected_instances,all_instances,normal_selected_src,exposed_selected_src,selected_src_delta_exposed_minus_normal,selected_depth_delta_exposed_minus_normal,control_src_delta_exposed_minus_normal,background_src_delta_exposed_minus_normal,selected_vs_control_did_src,selected_vs_background_did_src,normal_selected_minus_background_src,exposed_selected_minus_background_src,selected_feature_area,control_feature_area
IMG_0024_20260601042338501,model.37.coord_att,2,4,0.8720263838768005,0.8543770909309387,-0.017649292945861816,0.017649292945861816,0.0013303160667419434,0.0006780028343200684,-0.01897960901260376,-0.018327295780181885,0.013250112533569336,-0.005077183246612549,33.25,11.484375
IMG_0024_20260601042338501,model.38.coord_att,2,4,0.5308149456977844,0.7343729734420776,0.2035580277442932,-0.2035580277442932,0.03483009338378906,0.012730002403259277,0.16872793436050415,0.19082802534103394,-0.16285520792007446,0.027972817420959473,8.3125,2.87109375
IMG_0024_20260601201837957,model.36.coord_att,1,3,0.9433321952819824,0.9541299939155579,0.01079779863357544,-0.01079779863357544,0.0010616779327392578,0.0002447366714477539,0.009736120700836182,0.010553061962127686,-0.026086032390594482,-0.015532970428466797,227.90625,321.484375
IMG_0024_20260601201837957,model.37.coord_att,1,3,0.8354629278182983,0.8595054149627686,0.024042487144470215,-0.024042487144470215,0.0037438273429870605,0.0010653138160705566,0.020298659801483154,0.022977173328399658,-0.02172309160232544,0.0012540817260742188,56.9765625,80.37109375
IMG_0024_20260601201837957,model.38.coord_att,1,3,0.666764497756958,0.6479424834251404,-0.018822014331817627,0.018822014331817627,-0.0025659799575805664,1.4126300811767578e-05,-0.01625603437423706,-0.018836140632629395,-0.028861820697784424,-0.04769796133041382,14.244140625,20.0927734375
IMG_0027_20260519032554715,model.36.coord_att,1,3,0.9453930854797363,0.9635819792747498,0.018188893795013428,-0.018188893795013428,0.004965066909790039,9.518861770629883e-05,0.013223826885223389,0.01809370517730713,-0.02856999635696411,-0.010476291179656982,18.296875,262.75
IMG_0027_20260519032554715,model.37.coord_att,1,3,0.8843221664428711,0.8906464576721191,0.006324291229248047,-0.006324291229248047,0.0035973191261291504,3.516674041748047e-06,0.0027269721031188965,0.006320774555206299,0.02345728874206543,0.02977806329727173,4.57421875,65.6875
IMG_0027_20260519032554715,model.38.coord_att,1,3,0.8337740898132324,0.7906615138053894,-0.04311257600784302,0.04311257600784302,-0.0015952587127685547,0.002776920795440674,-0.04151731729507446,-0.04588949680328369,0.12985187768936157,0.08396238088607788,1.1435546875,16.421875
IMG_0027_20260601211751828,model.36.coord_att,1,4,0.9145596027374268,0.9262732267379761,0.011713624000549316,-0.011713624000549316,0.004685819149017334,0.00016456842422485352,0.007027804851531982,0.011549055576324463,-0.057341039180755615,-0.04579198360443115,54.359375,117.265625
IMG_0027_20260601211751828,model.37.coord_att,1,4,0.774232029914856,0.7953803539276123,0.021148324012756348,-0.021148324012756348,0.00801759958267212,0.00044405460357666016,0.013130724430084229,0.020704269409179688,-0.08410030603408813,-0.06339603662490845,13.58984375,29.31640625
