image,sample_group,module,alpha_shape,over_mask_ratio,inside_over_src_mean,outside_src_mean,inside_minus_outside_src,inside_over_depth_mean,outside_depth_mean,inside_minus_outside_depth
622_xinjiang_IMG_0169_20260601201854546_realexp.jpg,overexposed,model.38.coord_att,20x20,0.0075,0.6159172058105469,0.7138353586196899,-0.09791815280914307,0.3840827941894531,0.28616464138031006,0.09791815280914307
622_xinjiang_IMG_0170_20260531201332261.jpg,normal,model.36.coord_att,80x80,0.006875,0.9204044342041016,0.9634921550750732,-0.04308772087097168,0.07959556579589844,0.03650784492492676,0.04308772087097168
622_xinjiang_IMG_0180_20260602051842500.jpg,normal,model.36.coord_att,80x80,0.01984375,0.9439138770103455,0.9697897434234619,-0.025875866413116455,0.05608612298965454,0.030210256576538086,0.025875866413116455
622_xinjiang_IMG_0180_20260602051842500.jpg,normal,model.37.coord_att,40x40,0.013125,0.8591489195823669,0.8609075546264648,-0.0017586350440979004,0.14085108041763306,0.13909244537353516,0.0017586350440979004
622_xinjiang_IMG_0180_20260602051842500.jpg,normal,model.38.coord_att,20x20,0.01,0.615375280380249,0.7165367007255554,-0.1011614203453064,0.384624719619751,0.2834632992744446,0.1011614203453064
622_xinjiang_IMG_0180_20260602051842500_realexp.jpg,overexposed,model.36.coord_att,80x80,0.023125,0.9704462289810181,0.9710900187492371,-0.0006437897682189941,0.029553771018981934,0.02890998125076294,0.0006437897682189941
622_xinjiang_IMG_0180_20260602051842500_realexp.jpg,overexposed,model.37.coord_att,40x40,0.02,0.8611404895782471,0.8624283075332642,-0.0012878179550170898,0.13885951042175293,0.13757169246673584,0.0012878179550170898
622_xinjiang_IMG_0180_20260602051842500_realexp.jpg,overexposed,model.38.coord_att,20x20,0.0175,0.6425272822380066,0.7161133885383606,-0.073586106300354,0.3574727177619934,0.2838866114616394,0.073586106300354
622_xinjiang_IMG_0186_20260519023144722.jpg,normal,model.36.coord_att,80x80,0.01890625,0.9733067154884338,0.9736649990081787,-0.00035828351974487305,0.026693284511566162,0.02633500099182129,0.00035828351974487305
622_xinjiang_IMG_0186_20260519023144722.jpg,normal,model.37.coord_att,40x40,0.013125,0.9100497364997864,0.8713728189468384,0.038676917552948,0.08995026350021362,0.12862718105316162,-0.038676917552948
